QEatZeroRange(deg),   0.0573300
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2700.,     2266.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2451,   -0.0009,    0.0000,    0.0000
      100.,     2559.,     2036.,   -0.0000,   -0.0000,   -0.0000,    0.5313,    0.5074,    0.1476,   -0.0466,   -0.0445,   -0.0129,    0.1141,    2.4118,    0.3656,    0.3491,    0.1016
      200.,     2423.,     1825.,   -3.8060,   -1.8173,   -0.5286,    2.1778,    1.0399,    0.3025,   -0.1950,   -0.0931,   -0.0271,    0.2346,    2.5736,    0.7311,    0.3491,    0.1015
      300.,     2290.,     1630.,  -13.5328,   -4.3079,   -1.2530,    5.0349,    1.6028,    0.4662,   -0.4580,   -0.1458,   -0.0424,    0.3619,    2.7432,    1.0965,    0.3490,    0.1015
      400.,     2161.,     1451.,  -29.8852,   -7.1351,   -2.0754,    9.2135,    2.1997,    0.6398,   -0.8494,   -0.2028,   -0.0590,    0.4968,    2.9333,    1.4617,    0.3490,    0.1015
      500.,     2033.,     1285.,  -53.6833,  -10.2535,   -2.9824,   14.8473,    2.8358,    0.8248,   -1.3843,   -0.2644,   -0.0769,    0.6399,    3.1510,    1.8267,    0.3489,    0.1015
      600.,     1908.,     1132.,  -85.8925,  -13.6713,   -3.9765,   22.0952,    3.5168,    1.0229,   -2.0805,   -0.3311,   -0.0963,    0.7922,    3.3822,    2.1915,    0.3488,    0.1015
      700.,     1783.,      988., -127.6506,  -17.4153,   -5.0655,   31.1584,    4.2509,    1.2364,   -2.9568,   -0.4034,   -0.1173,    0.9548,    3.6218,    2.5560,    0.3487,    0.1014
      800.,     1658.,      855., -180.3497,  -21.5294,   -6.2622,   42.3038,    5.0500,    1.4689,   -4.0339,   -0.4815,   -0.1401,    1.1292,    3.9105,    2.9202,    0.3486,    0.1014
      900.,     1534.,      732., -245.7000,  -26.0717,   -7.5834,   55.8474,    5.9260,    1.7237,   -5.3362,   -0.5662,   -0.1647,    1.3173,    4.2326,    3.2841,    0.3485,    0.1014
     1000.,     1411.,      619., -325.8363,  -31.1178,   -9.0511,   72.1785,    6.8930,    2.0050,   -6.8927,   -0.6583,   -0.1915,    1.5212,    4.7706,    3.6476,    0.3483,    0.1013
