QEatZeroRange(deg),   0.0610508
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2620.,     1219.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6031,   -0.0010,    0.0000,    0.0000
      100.,     2438.,     1056.,    0.0000,    0.0000,    0.0000,    0.7373,    0.7041,    0.2048,   -0.0424,   -0.0405,   -0.0118,    0.1187,    1.7624,    0.3181,    0.3038,    0.0884
      200.,     2262.,      909.,   -4.3550,   -2.0795,   -0.6049,    3.0659,    1.4640,    0.4258,   -0.1796,   -0.0858,   -0.0249,    0.2464,    1.9321,    0.6360,    0.3037,    0.0883
      300.,     2091.,      776.,  -15.5133,   -4.9384,   -1.4364,    7.1889,    2.2885,    0.6656,   -0.4279,   -0.1362,   -0.0396,    0.3844,    2.1347,    0.9537,    0.3036,    0.0883
      400.,     1924.,      658.,  -34.6378,   -8.2698,   -2.4054,   13.3563,    3.1888,    0.9275,   -0.8070,   -0.1927,   -0.0560,    0.5339,    2.3697,    1.2710,    0.3035,    0.0883
      500.,     1762.,      551.,  -63.1694,  -12.0654,   -3.5094,   21.8758,    4.1783,    1.2153,   -1.3404,   -0.2560,   -0.0745,    0.6968,    2.6114,    1.5879,    0.3033,    0.0882
      600.,     1603.,      456., -102.9286,  -16.3829,   -4.7652,   33.1377,    5.2744,    1.5342,   -2.0550,   -0.3271,   -0.0951,    0.8753,    2.8970,    1.9044,    0.3031,    0.0882
      700.,     1449.,      373., -156.2539,  -21.3176,   -6.2006,   47.6201,    6.4967,    1.8897,   -2.9838,   -0.4071,   -0.1184,    1.0721,    3.2911,    2.2203,    0.3029,    0.0881
      800.,     1301.,      300., -226.1814,  -27.0007,   -7.8536,   65.9221,    7.8694,    2.2890,   -4.1708,   -0.4979,   -0.1448,    1.2906,    3.8768,    2.5356,    0.3027,    0.0880
      900.,     1159.,      239., -316.7310,  -33.6092,   -9.7758,   88.7827,    9.4208,    2.7402,   -5.6713,   -0.6018,   -0.1750,    1.5349,    4.4859,    2.8502,    0.3024,    0.0880
     1000.,     1049.,      195., -433.1913,  -41.3708,  -12.0334,  116.7933,   11.1537,    3.2442,   -7.5393,   -0.7200,   -0.2094,    1.8086,    5.0229,    3.1642,    0.3022,    0.0879
