QEatZeroRange(deg),   0.0575604
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2740.,     1333.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6122,   -0.0009,    0.0000,    0.0000
      100.,     2554.,     1159.,   -0.0000,   -0.0000,   -0.0000,    0.6884,    0.6574,    0.1912,   -0.0392,   -0.0374,   -0.0109,    0.1134,    1.7783,    0.3075,    0.2936,    0.0854
      200.,     2375.,     1002.,   -3.8330,   -1.8303,   -0.5324,    2.8555,    1.3635,    0.3966,   -0.1666,   -0.0795,   -0.0231,    0.2352,    1.9484,    0.6148,    0.2936,    0.0854
      300.,     2200.,      860.,  -13.8406,   -4.4059,   -1.2815,    6.6832,    2.1275,    0.6188,   -0.3977,   -0.1266,   -0.0368,    0.3664,    2.1412,    0.9219,    0.2935,    0.0854
      400.,     2031.,      732.,  -31.0387,   -7.4105,   -2.1555,   12.3884,    2.9577,    0.8603,   -0.7507,   -0.1792,   -0.0521,    0.5083,    2.3732,    1.2288,    0.2934,    0.0853
      500.,     1866.,      618.,  -56.6807,  -10.8260,   -3.1489,   20.2397,    3.8658,    1.1244,   -1.2473,   -0.2382,   -0.0693,    0.6624,    2.6227,    1.5354,    0.2933,    0.0853
      600.,     1705.,      516.,  -92.3297,  -14.6958,   -4.2745,   30.5734,    4.8663,    1.4154,   -1.9128,   -0.3045,   -0.0886,    0.8306,    2.9032,    1.8416,    0.2931,    0.0853
      700.,     1548.,      425., -139.9745,  -19.0966,   -5.5546,   43.8090,    5.9768,    1.7385,   -2.7773,   -0.3789,   -0.1102,    1.0153,    3.2215,    2.1474,    0.2930,    0.0852
      800.,     1396.,      346., -202.1766,  -24.1350,   -7.0201,   60.4634,    7.2178,    2.0994,   -3.8778,   -0.4629,   -0.1346,    1.2194,    3.7357,    2.4527,    0.2928,    0.0852
      900.,     1249.,      277., -282.2888,  -29.9544,   -8.7127,   81.1870,    8.6148,    2.5058,   -5.2656,   -0.5587,   -0.1625,    1.4467,    4.3953,    2.7575,    0.2926,    0.0851
     1000.,     1111.,      219., -384.7588,  -36.7452,  -10.6879,  106.7604,   10.1956,    2.9656,   -6.9969,   -0.6682,   -0.1944,    1.7014,    4.9652,    3.0618,    0.2924,    0.0851
