QEatZeroRange(deg),   0.0562372
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2790.,     1382.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6161,   -0.0009,    0.0000,    0.0000
      100.,     2603.,     1203.,   -0.0000,   -0.0000,   -0.0000,    0.6693,    0.6391,    0.1859,   -0.0379,   -0.0362,   -0.0105,    0.1113,    1.7807,    0.3033,    0.2897,    0.0843
      200.,     2422.,     1041.,   -3.6370,   -1.7367,   -0.5051,    2.7755,    1.3253,    0.3855,   -0.1613,   -0.0770,   -0.0224,    0.2308,    1.9558,    0.6065,    0.2896,    0.0842
      300.,     2246.,      896.,  -13.2099,   -4.2052,   -1.2231,    6.4908,    2.0662,    0.6010,   -0.3856,   -0.1227,   -0.0357,    0.3595,    2.1454,    0.9095,    0.2895,    0.0842
      400.,     2075.,      765.,  -29.6857,   -7.0875,   -2.0615,   12.0220,    2.8702,    0.8349,   -0.7282,   -0.1739,   -0.0506,    0.4984,    2.3723,    1.2123,    0.2894,    0.0842
      500.,     1909.,      647.,  -54.2473,  -10.3612,   -3.0137,   19.6232,    3.7480,    1.0902,   -1.2102,   -0.2311,   -0.0672,    0.6491,    2.6302,    1.5149,    0.2893,    0.0842
      600.,     1747.,      542.,  -88.3683,  -14.0653,   -4.0911,   29.6098,    4.7129,    1.3708,   -1.8564,   -0.2955,   -0.0859,    0.8134,    2.9019,    1.8170,    0.2892,    0.0841
      700.,     1589.,      448., -133.9110,  -18.2694,   -5.3140,   42.3797,    5.7818,    1.6817,   -2.6957,   -0.3678,   -0.1070,    0.9935,    3.2193,    2.1189,    0.2891,    0.0841
      800.,     1435.,      366., -193.2680,  -23.0715,   -6.7107,   58.4203,    6.9739,    2.0285,   -3.7633,   -0.4492,   -0.1307,    1.1921,    3.6770,    2.4202,    0.2889,    0.0840
      900.,     1287.,      294., -269.5567,  -28.6033,   -8.3197,   78.3445,    8.3132,    2.4180,   -5.1070,   -0.5419,   -0.1576,    1.4128,    4.3302,    2.7212,    0.2887,    0.0840
     1000.,     1146.,      233., -366.9019,  -35.0397,  -10.1919,  102.9032,    9.8272,    2.8584,   -6.7847,   -0.6479,   -0.1885,    1.6599,    4.9858,    3.0217,    0.2886,    0.0839
