QEatZeroRange(deg),   0.0570590
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2710.,     2283.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2461,   -0.0009,    0.0000,    0.0000
      100.,     2569.,     2051.,    0.0000,    0.0000,    0.0000,    0.5287,    0.5049,    0.1469,   -0.0463,   -0.0442,   -0.0129,    0.1137,    2.4126,    0.3646,    0.3482,    0.1013
      200.,     2433.,     1839.,   -3.7662,   -1.7984,   -0.5231,    2.1668,    1.0346,    0.3009,   -0.1937,   -0.0925,   -0.0269,    0.2337,    2.5763,    0.7290,    0.3481,    0.1013
      300.,     2299.,     1643.,  -13.4060,   -4.2676,   -1.2413,    5.0078,    1.5942,    0.4637,   -0.4552,   -0.1449,   -0.0421,    0.3606,    2.7454,    1.0934,    0.3481,    0.1012
      400.,     2170.,     1463.,  -29.6197,   -7.0717,   -2.0569,    9.1624,    2.1875,    0.6363,   -0.8443,   -0.2016,   -0.0586,    0.4949,    2.9349,    1.4576,    0.3480,    0.1012
      500.,     2042.,     1296.,  -53.2197,  -10.1650,   -2.9567,   14.7622,    2.8196,    0.8201,   -1.3764,   -0.2629,   -0.0765,    0.6374,    3.1517,    1.8215,    0.3479,    0.1012
      600.,     1917.,     1142.,  -85.1548,  -13.5538,   -3.9424,   21.9637,    3.4959,    1.0168,   -2.0688,   -0.3293,   -0.0958,    0.7890,    3.3854,    2.1853,    0.3478,    0.1012
      700.,     1792.,      998., -126.5544,  -17.2657,   -5.0220,   30.9644,    4.2244,    1.2287,   -2.9404,   -0.4012,   -0.1167,    0.9508,    3.6229,    2.5488,    0.3477,    0.1011
      800.,     1667.,      864., -178.7869,  -21.3428,   -6.2079,   42.0271,    5.0170,    1.4593,   -4.0118,   -0.4789,   -0.1393,    1.1244,    3.9117,    2.9121,    0.3476,    0.1011
      900.,     1543.,      740., -243.5392,  -25.8425,   -7.5167,   55.4638,    5.8853,    1.7118,   -5.3071,   -0.5631,   -0.1638,    1.3114,    4.2304,    3.2749,    0.3475,    0.1011
     1000.,     1419.,      626., -322.9122,  -30.8385,   -8.9699,   71.6581,    6.8433,    1.9905,   -6.8551,   -0.6547,   -0.1904,    1.5141,    4.7520,    3.6375,    0.3474,    0.1010
