QEatZeroRange(deg),   0.0623205
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2580.,     1182.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6001,   -0.0010,    0.0000,    0.0000
      100.,     2400.,     1023.,   -0.0000,   -0.0000,   -0.0000,    0.7550,    0.7210,    0.2097,   -0.0435,   -0.0416,   -0.0121,    0.1206,    1.7554,    0.3219,    0.3074,    0.0894
      200.,     2225.,      879.,   -4.5462,   -2.1708,   -0.6314,    3.1426,    1.5006,    0.4365,   -0.1840,   -0.0879,   -0.0256,    0.2504,    1.9272,    0.6435,    0.3073,    0.0894
      300.,     2054.,      750.,  -16.1290,   -5.1344,   -1.4934,    7.3745,    2.3476,    0.6828,   -0.4382,   -0.1395,   -0.0406,    0.3907,    2.1335,    0.9649,    0.3072,    0.0893
      400.,     1889.,      634.,  -35.9645,   -8.5865,   -2.4975,   13.7117,    3.2737,    0.9522,   -0.8265,   -0.1973,   -0.0574,    0.5430,    2.3618,    1.2859,    0.3070,    0.0893
      500.,     1727.,      530.,  -65.5656,  -12.5231,   -3.6425,   22.4788,    4.2934,    1.2488,   -1.3727,   -0.2622,   -0.0763,    0.7091,    2.6098,    1.6066,    0.3069,    0.0893
      600.,     1569.,      437., -106.8548,  -17.0078,   -4.9470,   34.0839,    5.4250,    1.5780,   -2.1045,   -0.3350,   -0.0974,    0.8913,    2.8956,    1.9266,    0.3067,    0.0892
      700.,     1417.,      356., -162.3013,  -22.1427,   -6.4406,   49.0278,    6.6888,    1.9455,   -3.0562,   -0.4169,   -0.1213,    1.0925,    3.3309,    2.2461,    0.3064,    0.0891
      800.,     1269.,      286., -235.1305,  -28.0690,   -8.1643,   67.9406,    8.1104,    2.3590,   -4.2746,   -0.5103,   -0.1484,    1.3162,    3.9211,    2.5649,    0.3062,    0.0891
      900.,     1130.,      227., -329.6182,  -34.9767,  -10.1736,   91.5884,    9.7185,    2.8268,   -5.8141,   -0.6169,   -0.1794,    1.5668,    4.4776,    2.8829,    0.3059,    0.0890
     1000.,     1035.,      190., -451.2817,  -43.0985,  -12.5359,  120.2739,   11.4861,    3.3409,   -7.7332,   -0.7385,   -0.2148,    1.8461,    5.0732,    3.2003,    0.3056,    0.0889
