QEatZeroRange(deg),   0.0562576
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2740.,     2333.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2490,   -0.0009,    0.0000,    0.0000
      100.,     2598.,     2098.,   -0.0000,   -0.0000,   -0.0000,    0.5209,    0.4975,    0.1447,   -0.0454,   -0.0433,   -0.0126,    0.1124,    2.4152,    0.3615,    0.3453,    0.1004
      200.,     2461.,     1882.,   -3.6486,   -1.7422,   -0.5068,    2.1341,    1.0190,    0.2964,   -0.1900,   -0.0907,   -0.0264,    0.2311,    2.5846,    0.7229,    0.3452,    0.1004
      300.,     2327.,     1683.,  -13.0382,   -4.1505,   -1.2072,    4.9292,    1.5691,    0.4564,   -0.4469,   -0.1423,   -0.0414,    0.3565,    2.7523,    1.0842,    0.3451,    0.1004
      400.,     2197.,     1500.,  -28.8466,   -6.8871,   -2.0032,    9.0135,    2.1520,    0.6259,   -0.8295,   -0.1980,   -0.0576,    0.4892,    2.9404,    1.4454,    0.3451,    0.1004
      500.,     2068.,     1330.,  -51.8600,   -9.9053,   -2.8811,   14.5130,    2.7720,    0.8063,   -1.3528,   -0.2584,   -0.0752,    0.6299,    3.1542,    1.8064,    0.3450,    0.1004
      600.,     1943.,     1173.,  -82.9994,  -13.2108,   -3.8426,   21.5802,    3.4349,    0.9991,   -2.0338,   -0.3237,   -0.0942,    0.7795,    3.3959,    2.1671,    0.3449,    0.1003
      700.,     1818.,     1027., -123.3504,  -16.8286,   -4.8949,   30.3994,    4.1473,    1.2063,   -2.8915,   -0.3945,   -0.1147,    0.9391,    3.6270,    2.5277,    0.3448,    0.1003
      800.,     1693.,      891., -174.2245,  -20.7982,   -6.0495,   41.2219,    4.9209,    1.4313,   -3.9459,   -0.4710,   -0.1370,    1.1101,    3.9106,    2.8879,    0.3447,    0.1003
      900.,     1569.,      765., -237.2368,  -25.1737,   -7.3222,   54.3484,    5.7670,    1.6774,   -5.2208,   -0.5540,   -0.1611,    1.2942,    4.2250,    3.2479,    0.3446,    0.1002
     1000.,     1445.,      649., -314.3915,  -30.0248,   -8.7332,   70.1459,    6.6989,    1.9485,   -6.7437,   -0.6440,   -0.1873,    1.4934,    4.6983,    3.6075,    0.3445,    0.1002
