QEatZeroRange(deg),   0.0572920
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2750.,     1343.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6130,   -0.0009,    0.0000,    0.0000
      100.,     2564.,     1168.,   -0.0000,   -0.0000,   -0.0000,    0.6845,    0.6537,    0.1901,   -0.0389,   -0.0372,   -0.0108,    0.1130,    1.7788,    0.3066,    0.2928,    0.0852
      200.,     2384.,     1009.,   -3.7930,   -1.8111,   -0.5268,    2.8393,    1.3558,    0.3943,   -0.1655,   -0.0790,   -0.0230,    0.2343,    1.9498,    0.6131,    0.2928,    0.0852
      300.,     2210.,      867.,  -13.7103,   -4.3645,   -1.2695,    6.6437,    2.1149,    0.6152,   -0.3952,   -0.1258,   -0.0366,    0.3650,    2.1420,    0.9194,    0.2927,    0.0851
      400.,     2040.,      739.,  -30.7611,   -7.3442,   -2.1362,   12.3135,    2.9399,    0.8551,   -0.7461,   -0.1781,   -0.0518,    0.5063,    2.3730,    1.2255,    0.2926,    0.0851
      500.,     1875.,      624.,  -56.1808,  -10.7305,   -3.1212,   20.1134,    3.8417,    1.1174,   -1.2398,   -0.2368,   -0.0689,    0.6597,    2.6241,    1.5312,    0.2925,    0.0851
      600.,     1713.,      521.,  -91.5175,  -14.5666,   -4.2369,   30.3763,    4.8349,    1.4063,   -1.9014,   -0.3026,   -0.0880,    0.8271,    2.9028,    1.8366,    0.2923,    0.0850
      700.,     1556.,      430., -138.7301,  -18.9268,   -5.5052,   43.5164,    5.9369,    1.7268,   -2.7608,   -0.3767,   -0.1096,    1.0109,    3.2208,    2.1416,    0.2922,    0.0850
      800.,     1404.,      350., -200.3469,  -23.9166,   -6.9565,   60.0449,    7.1678,    2.0849,   -3.8546,   -0.4601,   -0.1338,    1.2139,    3.7236,    2.4461,    0.2920,    0.0849
      900.,     1257.,      280., -279.6706,  -29.6765,   -8.6319,   80.6043,    8.5530,    2.4878,   -5.2334,   -0.5553,   -0.1615,    1.4398,    4.3820,    2.7501,    0.2918,    0.0849
     1000.,     1118.,      222., -381.0853,  -36.3943,  -10.5859,  105.9708,   10.1202,    2.9436,   -6.9539,   -0.6641,   -0.1932,    1.6930,    4.9740,    3.0537,    0.2916,    0.0848
