QEatZeroRange(deg),   0.0567899
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2720.,     2299.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2470,   -0.0009,    0.0000,    0.0000
      100.,     2579.,     2067.,    0.0000,    0.0000,    0.0000,    0.5261,    0.5024,    0.1461,   -0.0460,   -0.0439,   -0.0128,    0.1133,    2.4135,    0.3635,    0.3472,    0.1010
      200.,     2442.,     1853.,   -3.7267,   -1.7795,   -0.5176,    2.1558,    1.0294,    0.2994,   -0.1925,   -0.0919,   -0.0267,    0.2328,    2.5790,    0.7270,    0.3471,    0.1010
      300.,     2309.,     1657.,  -13.2818,   -4.2280,   -1.2298,    4.9813,    1.5857,    0.4612,   -0.4524,   -0.1440,   -0.0419,    0.3592,    2.7477,    1.0903,    0.3471,    0.1010
      400.,     2179.,     1475.,  -29.3595,   -7.0096,   -2.0389,    9.1123,    2.1756,    0.6328,   -0.8394,   -0.2004,   -0.0583,    0.4930,    2.9367,    1.4535,    0.3470,    0.1009
      500.,     2051.,     1307.,  -52.7600,  -10.0772,   -2.9311,   14.6779,    2.8035,    0.8154,   -1.3685,   -0.2614,   -0.0760,    0.6349,    3.1525,    1.8165,    0.3469,    0.1009
      600.,     1926.,     1153.,  -84.4271,  -13.4380,   -3.9087,   21.8341,    3.4753,    1.0108,   -2.0570,   -0.3274,   -0.0952,    0.7858,    3.3888,    2.1792,    0.3469,    0.1009
      700.,     1801.,     1008., -125.4728,  -17.1181,   -4.9791,   30.7733,    4.1984,    1.2212,   -2.9241,   -0.3989,   -0.1160,    0.9469,    3.6241,    2.5417,    0.3468,    0.1009
      800.,     1676.,      873., -177.2455,  -21.1588,   -6.1544,   41.7546,    4.9844,    1.4498,   -3.9897,   -0.4763,   -0.1385,    1.1196,    3.9127,    2.9040,    0.3467,    0.1008
      900.,     1551.,      748., -241.4087,  -25.6164,   -7.4510,   55.0861,    5.8452,    1.7002,   -5.2782,   -0.5601,   -0.1629,    1.3056,    4.2284,    3.2658,    0.3465,    0.1008
     1000.,     1428.,      634., -320.0312,  -30.5634,   -8.8899,   71.1461,    6.7944,    1.9763,   -6.8178,   -0.6511,   -0.1894,    1.5071,    4.7337,    3.6274,    0.3464,    0.1008
