QEatZeroRange(deg),   0.0578307
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2730.,     1324.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6115,   -0.0009,    0.0000,    0.0000
      100.,     2545.,     1150.,    0.0000,    0.0000,    0.0000,    0.6922,    0.6611,    0.1923,   -0.0394,   -0.0377,   -0.0110,    0.1138,    1.7778,    0.3083,    0.2945,    0.0856
      200.,     2365.,      994.,   -3.8747,   -1.8502,   -0.5382,    2.8722,    1.3715,    0.3989,   -0.1676,   -0.0800,   -0.0233,    0.2361,    1.9469,    0.6165,    0.2944,    0.0856
      300.,     2191.,      853.,  -13.9719,   -4.4477,   -1.2937,    6.7228,    2.1401,    0.6225,   -0.4002,   -0.1274,   -0.0371,    0.3679,    2.1405,    0.9245,    0.2943,    0.0856
      400.,     2022.,      726.,  -31.3190,   -7.4774,   -2.1749,   12.4639,    2.9758,    0.8655,   -0.7552,   -0.1803,   -0.0524,    0.5104,    2.3735,    1.2322,    0.2942,    0.0856
      500.,     1857.,      613.,  -57.1851,  -10.9224,   -3.1770,   20.3669,    3.8901,    1.1315,   -1.2548,   -0.2397,   -0.0697,    0.6652,    2.6214,    1.5396,    0.2941,    0.0855
      600.,     1696.,      511.,  -93.1532,  -14.8269,   -4.3127,   30.7730,    4.8980,    1.4247,   -1.9243,   -0.3063,   -0.0891,    0.8342,    2.9037,    1.8466,    0.2939,    0.0855
      700.,     1539.,      421., -141.2357,  -19.2687,   -5.6046,   44.1053,    6.0172,    1.7502,   -2.7940,   -0.3812,   -0.1109,    1.0198,    3.2222,    2.1532,    0.2938,    0.0854
      800.,     1388.,      342., -204.0312,  -24.3564,   -7.0845,   60.8872,    7.2684,    2.1141,   -3.9012,   -0.4657,   -0.1355,    1.2250,    3.7479,    2.4593,    0.2936,    0.0854
      900.,     1242.,      274., -284.9429,  -30.2360,   -8.7946,   81.7768,    8.6774,    2.5240,   -5.2981,   -0.5622,   -0.1635,    1.4536,    4.4089,    2.7649,    0.2934,    0.0853
     1000.,     1105.,      217., -388.4846,  -37.1010,  -10.7914,  107.5587,   10.2718,    2.9877,   -7.0402,   -0.6723,   -0.1956,    1.7100,    4.9542,    3.0701,    0.2932,    0.0853
