QEatZeroRange(deg),   0.0583772
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2710.,     1304.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6099,   -0.0009,    0.0000,    0.0000
      100.,     2525.,     1133.,    0.0000,    0.0000,    0.0000,    0.6999,    0.6684,    0.1944,   -0.0400,   -0.0382,   -0.0111,    0.1147,    1.7769,    0.3100,    0.2961,    0.0861
      200.,     2347.,      978.,   -3.9590,   -1.8904,   -0.5499,    2.9058,    1.3875,    0.4036,   -0.1698,   -0.0811,   -0.0236,    0.2379,    1.9441,    0.6199,    0.2960,    0.0861
      300.,     2173.,      839.,  -14.2386,   -4.5326,   -1.3184,    6.8032,    2.1657,    0.6299,   -0.4051,   -0.1290,   -0.0375,    0.3708,    2.1392,    0.9296,    0.2959,    0.0861
      400.,     2004.,      713.,  -31.8922,   -7.6143,   -2.2147,   12.6179,    3.0125,    0.8762,   -0.7644,   -0.1825,   -0.0531,    0.5145,    2.3742,    1.2390,    0.2958,    0.0860
      500.,     1840.,      601.,  -58.2160,  -11.1193,   -3.2342,   20.6265,    3.9397,    1.1459,   -1.2700,   -0.2426,   -0.0706,    0.6707,    2.6190,    1.5481,    0.2957,    0.0860
      600.,     1679.,      501.,  -94.8330,  -15.0943,   -4.3904,   31.1795,    4.9627,    1.4435,   -1.9475,   -0.3100,   -0.0902,    0.8414,    2.9049,    1.8568,    0.2955,    0.0860
      700.,     1523.,      412., -143.8103,  -19.6199,   -5.7068,   44.7089,    6.0996,    1.7742,   -2.8275,   -0.3858,   -0.1122,    1.0289,    3.2241,    2.1650,    0.2954,    0.0859
      800.,     1372.,      334., -207.8194,  -24.8087,   -7.2160,   61.7510,    7.3715,    2.1441,   -3.9486,   -0.4714,   -0.1371,    1.2364,    3.7728,    2.4727,    0.2952,    0.0859
      900.,     1226.,      267., -290.3652,  -30.8114,   -8.9620,   82.9787,    8.8049,    2.5611,   -5.3637,   -0.5692,   -0.1655,    1.4677,    4.4347,    2.7799,    0.2950,    0.0858
     1000.,     1092.,      212., -396.1031,  -37.8286,  -11.0031,  109.1812,   10.4268,    3.0328,   -7.1277,   -0.6807,   -0.1980,    1.7273,    4.9302,    3.0866,    0.2948,    0.0857
