QEatZeroRange(deg),   0.0565228
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2730.,     2316.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2480,   -0.0009,    0.0000,    0.0000
      100.,     2588.,     2082.,    0.0000,    0.0000,    0.0000,    0.5235,    0.4999,    0.1454,   -0.0457,   -0.0436,   -0.0127,    0.1129,    2.4143,    0.3625,    0.3462,    0.1007
      200.,     2451.,     1868.,   -3.6875,   -1.7608,   -0.5122,    2.1449,    1.0242,    0.2979,   -0.1912,   -0.0913,   -0.0266,    0.2320,    2.5818,    0.7250,    0.3462,    0.1007
      300.,     2318.,     1670.,  -13.1595,   -4.1891,   -1.2185,    4.9552,    1.5774,    0.4588,   -0.4497,   -0.1431,   -0.0416,    0.3578,    2.7500,    1.0873,    0.3461,    0.1007
      400.,     2188.,     1487.,  -29.1013,   -6.9479,   -2.0209,    9.0626,    2.1637,    0.6293,   -0.8344,   -0.1992,   -0.0579,    0.4911,    2.9385,    1.4494,    0.3460,    0.1007
      500.,     2060.,     1319.,  -52.3082,   -9.9909,   -2.9060,   14.5951,    2.7877,    0.8108,   -1.3606,   -0.2599,   -0.0756,    0.6324,    3.1533,    1.8114,    0.3460,    0.1006
      600.,     1934.,     1163.,  -83.7093,  -13.3238,   -3.8754,   21.7064,    3.4549,    1.0049,   -2.0454,   -0.3256,   -0.0947,    0.7827,    3.3923,    2.1732,    0.3459,    0.1006
      700.,     1809.,     1017., -124.4049,  -16.9724,   -4.9367,   30.5850,    4.1727,    1.2137,   -2.9078,   -0.3967,   -0.1154,    0.9430,    3.6254,    2.5347,    0.3458,    0.1006
      800.,     1684.,      882., -175.7247,  -20.9773,   -6.1016,   41.4862,    4.9524,    1.4405,   -3.9678,   -0.4737,   -0.1378,    1.1148,    3.9116,    2.8959,    0.3457,    0.1006
      900.,     1560.,      756., -239.3077,  -25.3934,   -7.3861,   54.7143,    5.8058,    1.6887,   -5.2495,   -0.5570,   -0.1620,    1.2999,    4.2266,    3.2568,    0.3456,    0.1005
     1000.,     1437.,      641., -317.1901,  -30.2920,   -8.8109,   70.6418,    6.7463,    1.9623,   -6.7806,   -0.6476,   -0.1884,    1.5002,    4.7158,    3.6174,    0.3455,    0.1005
