QEatZeroRange(deg),   0.0578780
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2680.,     2232.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    2.2431,   -0.0009,    0.0000,    0.0000
      100.,     2540.,     2005.,    0.0000,    0.0000,    0.0000,    0.5365,    0.5124,    0.1490,   -0.0472,   -0.0451,   -0.0131,    0.1150,    2.4101,    0.3677,    0.3511,    0.1021
      200.,     2404.,     1797.,   -3.8890,   -1.8570,   -0.5401,    2.2007,    1.0508,    0.3056,   -0.1975,   -0.0943,   -0.0274,    0.2364,    2.5682,    0.7353,    0.3511,    0.1021
      300.,     2272.,     1604.,  -13.7892,   -4.3896,   -1.2768,    5.0897,    1.6202,    0.4713,   -0.4636,   -0.1476,   -0.0429,    0.3647,    2.7387,    1.1027,    0.3510,    0.1021
      400.,     2143.,     1427.,  -30.4244,   -7.2638,   -2.1128,    9.3175,    2.2245,    0.6470,   -0.8594,   -0.2052,   -0.0597,    0.5007,    2.9300,    1.4700,    0.3510,    0.1021
      500.,     2016.,     1263.,  -54.6309,  -10.4345,   -3.0351,   15.0214,    2.8691,    0.8345,   -1.4003,   -0.2675,   -0.0778,    0.6450,    3.1499,    1.8370,    0.3509,    0.1021
      600.,     1891.,     1111.,  -87.3960,  -13.9106,   -4.0461,   22.3638,    3.5596,    1.0354,   -2.1042,   -0.3349,   -0.0974,    0.7987,    3.3761,    2.2039,    0.3508,    0.1020
      700.,     1766.,      969., -129.8896,  -17.7207,   -5.1544,   31.5558,    4.3051,    1.2522,   -2.9899,   -0.4079,   -0.1186,    0.9629,    3.6201,    2.5705,    0.3507,    0.1020
      800.,     1641.,      837., -183.5405,  -21.9103,   -6.3730,   42.8704,    5.1177,    1.4886,   -4.0785,   -0.4869,   -0.1416,    1.1391,    3.9088,    2.9367,    0.3506,    0.1020
      900.,     1517.,      715., -250.1139,  -26.5401,   -7.7196,   56.6331,    6.0094,    1.7479,   -5.3947,   -0.5724,   -0.1665,    1.3292,    4.2379,    3.3026,    0.3504,    0.1019
     1000.,     1394.,      604., -331.8149,  -31.6888,   -9.2172,   73.2449,    6.9949,    2.0346,   -6.9687,   -0.6655,   -0.1936,    1.5355,    4.8090,    3.6681,    0.3503,    0.1019
