QEatZeroRange(deg),   0.0616721
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2600.,     1201.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6016,   -0.0010,    0.0000,    0.0000
      100.,     2419.,     1039.,    0.0000,    0.0000,    0.0000,    0.7459,    0.7124,    0.2072,   -0.0430,   -0.0410,   -0.0119,    0.1196,    1.7589,    0.3200,    0.3056,    0.0889
      200.,     2243.,      894.,   -4.4505,   -2.1251,   -0.6181,    3.1039,    1.4821,    0.4311,   -0.1818,   -0.0868,   -0.0253,    0.2484,    1.9296,    0.6397,    0.3055,    0.0889
      300.,     2073.,      763.,  -15.8191,   -5.0357,   -1.4647,    7.2807,    2.3177,    0.6741,   -0.4331,   -0.1379,   -0.0401,    0.3875,    2.1340,    0.9592,    0.3054,    0.0888
      400.,     1907.,      646.,  -35.2942,   -8.4265,   -2.4510,   13.5317,    3.2307,    0.9397,   -0.8167,   -0.1950,   -0.0567,    0.5384,    2.3656,    1.2784,    0.3052,    0.0888
      500.,     1744.,      540.,  -64.3539,  -12.2916,   -3.5752,   22.1734,    4.2351,    1.2319,   -1.3565,   -0.2591,   -0.0754,    0.7029,    2.6105,    1.5972,    0.3051,    0.0887
      600.,     1586.,      447., -104.8678,  -16.6915,   -4.8550,   33.6046,    5.3487,    1.5558,   -2.0796,   -0.3310,   -0.0963,    0.8832,    2.8961,    1.9154,    0.3049,    0.0887
      700.,     1433.,      365., -159.2379,  -21.7247,   -6.3190,   48.3145,    6.5915,    1.9172,   -3.0197,   -0.4120,   -0.1198,    1.0822,    3.3107,    2.2331,    0.3047,    0.0886
      800.,     1285.,      293., -230.5947,  -27.5275,   -8.0068,   66.9179,    7.9883,    2.3235,   -4.2223,   -0.5040,   -0.1466,    1.3033,    3.8986,    2.5501,    0.3044,    0.0885
      900.,     1144.,      233., -323.0818,  -34.2831,   -9.9718,   90.1673,    9.5677,    2.7829,   -5.7422,   -0.6093,   -0.1772,    1.5507,    4.4854,    2.8664,    0.3042,    0.0885
     1000.,     1042.,      193., -442.1119,  -42.2227,  -12.2812,  118.5290,   11.3195,    3.2925,   -7.6353,   -0.7292,   -0.2121,    1.8272,    5.0522,    3.1822,    0.3039,    0.0884
