QEatZeroRange(deg),   0.0570255
Range,Velocity,Energy,Trajectory,ComeUp,ComeUp,WindDrift,WindDrift,WindDrift,SpinDrift,SpinDrift,SpinDrift,TOF,Gyro,  VertWindJump,VertWindJump,VertWindJump
(Yds)   ,(FPS)   ,(Ft-lb) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(In)    ,(MOA)   ,(Mrads) ,(Sec)   ,        ,(In)    ,(MOA)   ,(Mrads) 
        0.,     2760.,     1353.,   -1.5000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.6138,   -0.0009,    0.0000,    0.0000
      100.,     2574.,     1176.,    0.0000,    0.0000,    0.0000,    0.6807,    0.6501,    0.1891,   -0.0387,   -0.0369,   -0.0107,    0.1126,    1.7793,    0.3058,    0.2920,    0.0849
      200.,     2393.,     1017.,   -3.7536,   -1.7923,   -0.5213,    2.8232,    1.3481,    0.3921,   -0.1645,   -0.0785,   -0.0228,    0.2334,    1.9513,    0.6115,    0.2920,    0.0849
      300.,     2219.,      874.,  -13.5836,   -4.3241,   -1.2577,    6.6052,    2.1026,    0.6116,   -0.3928,   -0.1250,   -0.0364,    0.3636,    2.1427,    0.9169,    0.2919,    0.0849
      400.,     2049.,      745.,  -30.4867,   -7.2787,   -2.1171,   12.2394,    2.9221,    0.8500,   -0.7416,   -0.1771,   -0.0515,    0.5043,    2.3728,    1.2222,    0.2918,    0.0849
      500.,     1883.,      630.,  -55.6890,  -10.6366,   -3.0938,   19.9890,    3.8179,    1.1105,   -1.2323,   -0.2354,   -0.0685,    0.6571,    2.6255,    1.5271,    0.2917,    0.0848
      600.,     1721.,      526.,  -90.7148,  -14.4388,   -4.1998,   30.1813,    4.8039,    1.3973,   -1.8901,   -0.3008,   -0.0875,    0.8237,    2.9025,    1.8317,    0.2915,    0.0848
      700.,     1564.,      434., -137.5018,  -18.7593,   -5.4564,   43.2272,    5.8974,    1.7154,   -2.7444,   -0.3744,   -0.1089,    1.0065,    3.2203,    2.1359,    0.2914,    0.0848
      800.,     1411.,      354., -198.5416,  -23.7011,   -6.8939,   59.6313,    7.1185,    2.0705,   -3.8316,   -0.4574,   -0.1330,    1.2084,    3.7118,    2.4396,    0.2912,    0.0847
      900.,     1264.,      284., -277.0902,  -29.4027,   -8.5523,   80.0291,    8.4920,    2.4700,   -5.2015,   -0.5519,   -0.1605,    1.4329,    4.3688,    2.7428,    0.2910,    0.0847
     1000.,     1125.,      225., -377.4630,  -36.0484,  -10.4853,  105.1901,   10.0456,    2.9219,   -6.9112,   -0.6600,   -0.1920,    1.6846,    4.9770,    3.0456,    0.2909,    0.0846
